inputfile,strategy,utility
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2699
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2799
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2749
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2741
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2756
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2774
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2736
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2806
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2854
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2881
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2876
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2689
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-7,2864
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-9,2974
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2803
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2742
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2742
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2742
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-11,2724
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2767
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2706
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2759
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2747
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2926
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/chimera_subgraphs/chimera_subgraph-16-16-4-0.csv,greedy-12,2914
./max-cut-catalogue/random_graphs/graph-2000-0.csv,greedy-12,4011
./max-cut-catalogue/random_graphs/graph-2000-0.csv,greedy-12,4007
./max-cut-catalogue/random_graphs/graph-2000-0.csv,greedy-12,4007
